Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2020,1,Jordan Love\LoveJo03,26,QB,,0,0,0,,,,,,,,,,,,,,,,Utah St.
2020,2,AJ Dillon\DillAJ00,62,RB,2020,0,0,0,0,4,,,,,,8,34,0,,,,,,Boston Col.
2020,3,Josiah Deguara\DeguJo00,94,TE,2020,0,0,0,0,2,,,,,,,,,1,12,0,,,Cincinnati
2020,5,Kamal Martin\MartKa01,175,LB,,0,0,0,,,,,,,,,,,,,,,,Minnesota
2020,6,Jon Runyan\RunyJo00,192,T,2020,0,0,0,0,4,,,,,,,,,,,,,,Michigan
2020,6,Jake Hanson\HansJa00,208,C,,0,0,0,,,,,,,,,,,,,,,,Oregon
2020,6,Simon Stepaniak\StepSi00,209,T,,0,0,0,,,,,,,,,,,,,,,,Indiana
2020,7,Vernon Scott\ScotVe00,236,S,2020,0,0,0,0,4,,,,,,,,,,,,,1,TCU
2020,7,Jonathan Garvin\GarvJo00,242,DE,2020,0,0,0,0,4,,,,,,,,,,,,,,Miami (FL)
2019,1,Rashan Gary\GaryRa00,12,LB,2020,0,0,0,2,19,,,,,,,,,,,,,3.5,Michigan
2019,1,Darnell Savage Jr.\SavaDa00,21,S,2020,0,0,1,5,18,,,,,,,,,,,,2,,Maryland
2019,2,Elgton Jenkins\JenkEl00,44,C,2020,0,0,1,7,20,,,,,,,,,,,,,,Mississippi St.
2019,3,Jace Sternberger\SterJa00,75,TE,2020,0,0,0,0,10,,,,,,,,,3,36,0,,,Texas A&M
2019,5,Kingsley Keke\KekeKi00,150,DT,2020,0,0,0,1,18,,,,,,,,,,,,,2,Texas A&M
2019,6,Ka'dar Hollman\HollKa00,185,CB,2020,0,0,0,0,8,,,,,,,,,,,,,,Toledo
2019,6,Dexter Williams\WillDe07,194,RB,2019,0,0,0,0,4,,,,,,5,11,0,,,,,,Notre Dame
2019,7,Ty Summers\SummTy00,226,LB,2020,0,0,0,1,20,,,,,,,,,,,,,,TCU
